Date,Open,High,Low,Close,Adj Close,Volume
2003-08-19,27.889999,28.200001,27.750000,28.135000,14.221343,509030
2003-08-20,28.370001,28.950001,28.100000,28.379999,14.345181,484740
2003-08-21,28.115000,28.950001,28.115000,28.754999,14.534735,525060
2003-08-22,29.270000,29.270000,28.424999,28.820000,14.567586,425970
2003-08-25,29.000000,29.000000,26.315001,28.045000,14.175851,712230
2003-08-26,28.100000,28.200001,27.870001,28.004999,14.155633,217600
2003-08-27,28.055000,28.900000,28.055000,28.165001,14.236508,825840
2003-08-28,28.700001,28.700001,27.809999,28.055000,14.180904,809710
2003-08-29,28.000000,28.090000,27.340000,27.545000,13.923114,1213750
2003-09-01,27.900000,28.000000,27.500000,27.834999,14.069702,1275310
2003-09-02,27.600000,28.375000,27.600000,28.200001,14.254199,285540
2003-09-03,28.000000,29.200001,27.900000,28.000000,14.153103,1566230
2003-09-04,28.000000,28.379999,27.600000,28.055000,14.180904,2905330
2003-09-05,27.000000,28.400000,27.000000,27.930000,14.117723,768110
2003-09-08,27.900000,28.299999,27.629999,27.820000,14.062120,356670
2003-09-09,27.980000,28.299999,27.620001,28.020000,14.163214,826280
2003-09-10,28.000000,28.025000,27.600000,27.719999,14.011573,658430
2003-09-11,27.570000,28.100000,27.570000,27.795000,14.049482,562620
2003-09-12,28.000000,28.100000,27.600000,27.980000,14.142993,1426360
2003-09-15,27.990000,27.990000,27.225000,27.365000,13.832132,401510
2003-09-16,27.500000,27.879999,27.110001,27.705000,14.003990,596130
2003-09-17,27.900000,27.950001,27.010000,27.225000,13.761367,1734610
2003-09-18,27.299999,27.299999,26.299999,26.430000,13.359520,910870
2003-09-19,26.370001,27.200001,26.370001,27.184999,13.741148,269900
2003-09-22,27.200001,27.200001,26.375000,26.400000,13.344355,443060
2003-09-23,26.400000,26.799999,26.400000,26.605000,13.447977,389180
2003-09-24,26.700001,27.475000,26.600000,27.264999,13.781584,286110
2003-09-25,27.200001,27.500000,26.700001,26.834999,13.564233,540910
2003-09-26,27.190001,27.200001,26.530001,27.174999,13.736090,631610
2003-09-29,27.500000,27.799999,26.799999,26.959999,13.627417,2246990
2003-09-30,27.000000,27.650000,27.000000,27.514999,13.907950,2075250
2003-10-01,27.700001,28.690001,27.670000,28.295000,14.302220,1126930
2003-10-03,28.555000,29.700001,28.555000,29.410000,14.865814,1915720
2003-10-06,29.600000,31.889999,29.600000,31.485001,15.914660,2010630
2003-10-07,32.000000,32.599998,30.700001,30.834999,15.586103,2128750
2003-10-08,31.100000,31.500000,30.700001,31.010000,15.674562,946770
2003-10-09,31.400000,31.600000,31.010000,31.379999,15.861588,1112010
2003-10-10,31.600000,32.299999,30.120001,30.379999,15.356118,3204400
2003-10-13,30.875000,31.420000,30.700001,30.820000,15.578522,2117100
2003-10-14,31.500000,31.799999,30.700001,30.959999,15.649287,1974680
2003-10-15,31.190001,31.200001,30.500000,31.070000,15.704889,987990
2003-10-16,31.100000,31.500000,31.000000,31.350000,15.846423,15177430
2003-10-17,31.500000,32.500000,31.445000,31.665001,16.005644,3048510
2003-10-20,31.750000,32.299999,31.215000,31.545000,15.944988,1615420
2003-10-21,31.400000,31.459999,30.809999,31.014999,15.677091,622020
2003-10-22,31.200001,31.370001,29.799999,30.115000,15.222170,587410
2003-10-23,30.100000,30.344999,29.799999,29.950001,15.138768,379050
2003-10-24,30.030001,30.889999,29.615000,30.785000,15.560834,440450
2003-10-27,30.549999,31.400000,29.950001,30.075001,15.201951,506660
2003-10-28,30.260000,31.400000,30.205000,31.205000,15.773127,1388490
2003-10-29,31.299999,31.900000,31.230000,31.530001,15.937407,1254730
2003-10-30,31.299999,32.000000,31.299999,31.750000,16.048611,1125880
2003-10-31,32.005001,32.150002,31.200001,31.635000,15.990479,1153590
2003-11-03,32.000000,32.200001,31.600000,31.840000,16.094101,1434860
2003-11-04,32.000000,32.200001,30.799999,30.945000,15.641707,729200
2003-11-05,31.139999,31.290001,30.725000,30.879999,15.608850,591240
2003-11-06,30.325001,30.995001,30.299999,30.780001,15.558304,952210
2003-11-07,30.750000,30.945000,30.200001,30.540001,15.436993,1273100
2003-11-10,31.045000,31.200001,30.299999,30.995001,15.666982,1244950
2003-11-11,31.200001,31.200001,30.495001,30.805000,15.570943,1105300
2003-11-12,30.900000,30.900000,29.799999,29.950001,15.138768,747130
